nombre,edad,calle,ciudad,provincia,cp,longitud,latitud
Teófila Pizarro Roldan,31,Vial Alonso Leal 8,Cáceres,Córdoba,42669,119.542865,45.0257285
Emigdio Soto Cid,70,Ronda Catalina Redondo 71 Puerta 2 ,Badajoz,Navarra,37030,-120.165518,21.080828
Valeria de Mercader,41,Via Lorenzo Peñalver 10 Apt. 34 ,Tarragona,Las Palmas,02601,-154.625304,48.4535585
Imelda de Enríquez,74,Camino de Roldán Barba 988 Apt. 33 ,Alicante,Burgos,42852,-97.470502,36.6195155
Ale Baeza Bravo,64,Pasaje de Macario Lerma 8,Guadalajara,Vizcaya,27211,-31.240426,39.581396
Ángeles Redondo-Cortes,39,Urbanización de Aurelio Ríos 7 Puerta 0 ,León,Zamora,06071,-70.620032,62.488986
Juana Pascual Reig,30,Pasadizo Pancho Lluch 78 Puerta 5 ,Salamanca,León,27343,-69.280486,-40.4250725
Aitana Vera Chaparro Raya,19,Pasadizo Amaya Sobrino 6,Pontevedra,Huesca,35524,39.227996,60.001118
Horacio Palomino Roldán,43,Plaza de Armando Zabaleta 69,Murcia,Girona,11804,125.535649,-59.345183
José María Zamora,76,Acceso Adora Casado 54,Teruel,Salamanca,45074,172.423033,67.972758
Inés Jáuregui Galindo,43,Acceso de Ema Barranco 9,La Rioja,Toledo,02349,9.383584,-64.694292
Jose Carlos Alsina Canet,28,Pasadizo de Morena Saez 66 Piso 2 ,Las Palmas,Málaga,43020,138.046710,-71.619390
Carina del Pozuelo,19,Alameda de Macario Pedrero 16,Cáceres,Badajoz,32508,114.832522,-19.5509435
Ruperta Chaparro Tomás,54,Vial Lucía Monreal 90 Puerta 7 ,Cádiz,Burgos,11127,-85.605766,-85.284019
Máximo Edgardo Ballester Morales,62,Acceso de Ricarda Viñas 36 Piso 3 ,La Coruña,Asturias,29096,-9.322268,15.7473585
Galo del Montenegro,56,Camino de Telmo Valderrama 56,Álava,Soria,41512,20.139492,82.147786
Petrona Abad Uriarte,26,C. Silvestre Talavera 20,Segovia,Salamanca,36457,63.139294,-54.015887
Josep Rodolfo Pellicer Parejo,50,Rambla Iris Porras 59,Albacete,Ceuta,07336,-57.741095,-6.1179185
Mercedes Ribes Fuster,20,Callejón Valeria Valentín 91,Ceuta,Segovia,49631,-153.322966,73.6117915
Angélica Abellán Prat,36,Pasaje de Otilia Ayllón 938,Valladolid,Teruel,42026,62.720054,86.444023
Adriana Dominguez,51,Via Régulo Flores 43 Puerta 9 ,Guadalajara,Asturias,52098,-62.002400,-66.0963695
Hermenegildo de Jaén,69,Calle de Leticia Jaume 7 Puerta 1 ,Lugo,La Rioja,42364,-140.300453,51.060893
Elisabet Patiño Español,44,Cuesta Clara Lasa 14 Apt. 63 ,Albacete,Madrid,22282,83.821287,-58.9366855
Leandra Palomar Iriarte,23,Ronda de Josep Espada 96,Barcelona,Madrid,16257,-117.690171,-68.2327015
Lucho Prada Sebastián,72,Vial Caridad Carrión 35,Lugo,Cádiz,40770,7.809149,62.9749705
Asunción Tovar,20,Cuesta de Pía Sastre 71,La Coruña,Huelva,08313,62.431044,-84.311883
Ramona Miralles Corominas,54,Ronda Damián Lerma 95,Ceuta,Ávila,12010,-111.747555,-74.670186
Manuel Amaya-Vélez,23,Pasadizo Isidora Rodríguez 1 Puerta 2 ,Segovia,Palencia,41224,-3.089344,-0.4719815
Florencia Baños-Arteaga,43,Avenida de Esther Galán 436,Barcelona,Navarra,29220,-163.891850,-3.0621705
Carmelita Díaz Quintana,26,Callejón Fortunata Córdoba 156 Apt. 67 ,Lugo,Granada,09089,97.018257,-89.9204765
Osvaldo Quiroga Meléndez,47,Via Mayte Perera 77,Huesca,Navarra,25265,42.911023,63.7455515
Paula Blanch Cañas,64,Rambla Felicidad Giménez 79 Apt. 89 ,La Coruña,Navarra,33194,-59.170374,78.2088325
Ariel Anastasio Alfaro Galvez,44,Rambla de Domingo Gómez 7,Cuenca,Ávila,51598,49.618658,-17.968235
Alejo Edelmiro Gracia Lledó,42,Paseo Ana Sofía Agullo 43,Almería,Segovia,07707,-92.565337,76.074371
Manuela Torrent Bernad,30,Pasadizo de Angelina Mena 3,Huesca,Lugo,49183,-56.966558,29.9382165
Carmela Higueras,51,Acceso Ainara Cabrera 449,Ourense,Cáceres,50791,-144.731792,76.1302435
Cayetano Cristóbal Pina Cadenas,78,Plaza de Leopoldo Gargallo 59,Zamora,Sevilla,17035,-83.051860,-11.1193775
Aurelio del Lopez,53,Rambla de Abril Rios 48 Piso 7 ,Vizcaya,Cuenca,42627,-151.297512,70.511672
Dalila Durán Navas,68,Pasaje Ibán Espada 8 Puerta 8 ,Santa Cruz de Tenerife,Castellón,01643,-43.161591,38.862233
Sandalio Rosell Araujo,22,Glorieta de Calixta Botella 11 Apt. 16 ,Tarragona,Zaragoza,44313,-166.543168,64.696046
Zaira Osorio Montserrat,78,Ronda Américo Campillo 98,Pontevedra,Palencia,08228,68.887374,-88.1114165
Maristela Villaverde Barón,79,Paseo Celia Amat 11,Baleares,La Coruña,11150,13.971750,-71.1949465
Dan Borrás,68,Rambla Pelayo Planas 92,Jaén,Lugo,37139,-51.017540,-3.7830315
Maximino Amílcar Cuervo Fábregas,45,Glorieta Roldán Cid 85 Puerta 3 ,Zaragoza,Zamora,29867,168.023731,-71.761019
Zoraida Perea Muro,39,Urbanización de Adán Rodríguez 896 Puerta 5 ,Álava,Barcelona,49227,117.845912,-37.0423345
Sosimo de Ródenas,56,Pasadizo de Yago Llano 57 Apt. 34 ,Alicante,Burgos,12338,141.571220,49.2398385
Amarilis Gilabert Gámez,73,Glorieta Antonia Fabra 84,Huelva,Vizcaya,07559,-53.958552,-4.4644345
Carlota Andres-Manrique,46,Ronda de Gerónimo Montero 724 Apt. 80 ,Girona,La Rioja,47171,51.772985,-57.2609455
Evita Eusebia Espada Ripoll,77,Ronda de Manuel Campos 867,Soria,Baleares,26203,-111.245475,-20.729781
Graciano Bárcena Torrecilla,41,C. Josué Viña 121,Granada,Sevilla,18702,156.293118,-33.9096175
Luis Miguel Pinto Sastre,23,Via de Vinicio Campillo 82 Puerta 0 ,Valencia,Vizcaya,47347,-87.039249,54.9036885
Trinidad Gallardo-Galán,19,Camino Paca Avilés 756 Puerta 1 ,Cantabria,Madrid,05233,111.348182,-67.9775615
Iván Ródenas Tejera,61,Avenida de Pío Ródenas 8 Puerta 4 ,Guadalajara,Toledo,24051,-44.460159,89.076959
Graciela Miguel,39,C. Trinidad Abella 39,Vizcaya,Vizcaya,26633,101.572993,24.8935445
Xiomara Rita Rios Tur,64,Via Calixta Maldonado 22 Apt. 86 ,Huesca,Navarra,29194,13.234556,-29.195412
Eloy Acuña Valls,24,Alameda Piedad Alba 32 Piso 8 ,Almería,Castellón,41117,21.176584,-48.436031
Victor Sarabia Páez,29,Camino Fulgencio Álvaro 9 Apt. 05 ,Castellón,Burgos,26963,111.503007,62.528294
Hilda Simó Checa,54,Alameda de Juan Francisco Giner 940 Piso 8 ,La Coruña,Ceuta,13528,-115.062227,-85.810230
Marcia Apolonia Barrios Acevedo,63,Plaza Anastasia Jara 18 Piso 2 ,Soria,Burgos,02780,80.149148,-47.225008
